id,pickup datetime,number
494,2020-01-01 0:27:56,1
511,2020-01-01 0:28:01,1
523,2020-01-01 0:28:02,1
684,2020-01-01 0:28:06,1
888,2020-01-01 0:28:07,1
917,2020-01-01 0:28:11,1
503,2020-01-01 0:28:16,1
172,2020-01-01 0:28:20,1
468,2020-01-01 0:28:20,1
239,2020-01-01 0:28:52,1
1530,2020-01-01 0:29:00,1
1212,2020-01-01 0:29:03,1
879,2020-01-01 0:29:07,2
1513,2020-01-01 0:29:18,1
185,2020-01-01 0:29:41,1
757,2020-01-01 0:30:04,2
753,2020-01-01 0:30:07,1
480,2020-01-01 0:30:09,1
413,2020-01-01 0:30:11,2
476,2020-01-01 0:30:18,2
1805,2020-01-01 0:30:20,1
650,2020-01-01 0:30:24,2
173,2020-01-01 0:30:27,1
269,2020-01-01 0:30:33,1
325,2020-01-01 0:30:38,1
913,2020-01-01 0:30:52,2
897,2020-01-01 0:30:58,1
307,2020-01-01 0:31:01,1
1490,2020-01-01 0:31:03,1
871,2020-01-01 0:31:17,2
359,2020-01-01 0:31:40,1
508,2020-01-01 0:31:47,1
352,2020-01-01 0:31:48,1
653,2020-01-01 0:31:50,1
754,2020-01-01 0:31:52,1
617,2020-01-01 0:31:55,1
603,2020-01-01 0:32:26,1
403,2020-01-01 0:32:30,0
527,2020-01-01 0:32:53,1
256,2020-01-01 0:33:06,1
805,2020-01-01 0:33:17,1
650,2020-01-01 0:33:25,0
283,2020-01-01 0:33:37,1
1474,2020-01-01 0:33:39,1
205,2020-01-01 0:33:40,2
1050,2020-01-01 0:33:44,1
650,2020-01-01 0:33:44,1
973,2020-01-01 0:33:45,1
446,2020-01-01 0:33:56,1
869,2020-01-01 0:34:04,2
441,2020-01-01 0:34:04,2
521,2020-01-01 0:34:12,1
494,2020-01-01 0:34:22,1
414,2020-01-01 0:34:23,1
669,2020-01-01 0:34:24,1
2060,2020-01-01 0:34:24,2
338,2020-01-01 0:34:25,1
648,2020-01-01 0:34:41,0
173,2020-01-01 0:34:42,2
303,2020-01-01 0:34:53,1
565,2020-01-01 0:34:57,2
564,2020-01-01 0:35:00,0
1108,2020-01-01 0:35:07,2
304,2020-01-01 0:35:08,1
316,2020-01-01 0:35:14,1
402,2020-01-01 0:35:15,1
691,2020-01-01 0:35:16,1
2248,2020-01-01 0:35:24,2
1363,2020-01-01 0:35:25,1
295,2020-01-01 0:35:28,1
1121,2020-01-01 0:35:36,1
525,2020-01-01 0:35:45,1
2315,2020-01-01 0:35:46,1
1226,2020-01-01 0:35:57,1
920,2020-01-01 0:35:58,1
759,2020-01-01 0:36:00,1
403,2020-01-01 0:36:11,0
2376,2020-01-01 0:36:23,1
616,2020-01-01 0:36:29,0
699,2020-01-01 0:36:32,1
653,2020-01-01 0:36:51,1
257,2020-01-01 0:36:57,1
790,2020-01-01 0:37:01,1
2100,2020-01-01 0:37:09,1
2639,2020-01-01 0:37:29,1
893,2020-01-01 0:37:33,2
200,2020-01-01 0:37:34,1
520,2020-01-01 0:37:44,1
875,2020-01-01 0:37:46,1
198,2020-01-01 0:37:50,1
2818,2020-01-01 0:38:00,1
42400,2020-01-01 0:38:03,1
782,2020-01-01 0:38:08,1
372,2020-01-01 0:38:20,1
404,2020-01-01 0:38:29,1
1202,2020-01-01 0:38:35,2
1424,2020-01-01 0:38:42,0
220,2020-01-01 0:38:44,2
1825,2020-01-01 0:38:50,2
108,2020-01-01 0:38:56,1
534,2020-01-01 0:39:09,0
289,2020-01-01 0:39:11,0
1609,2020-01-01 0:39:35,2
205,2020-01-01 0:39:38,1
669,2020-01-01 0:39:44,1
1997,2020-01-01 0:39:49,1
420,2020-01-01 0:39:52,1
371,2020-01-01 0:39:52,1
354,2020-01-01 0:39:56,2
1862,2020-01-01 0:39:57,2
1854,2020-01-01 0:40:06,1
798,2020-01-01 0:40:15,1
296,2020-01-01 0:40:22,2
298,2020-01-01 0:40:36,1
446,2020-01-01 0:40:38,1
753,2020-01-01 0:40:38,1
364,2020-01-01 0:40:45,1
1042,2020-01-01 0:40:52,2
1050,2020-01-01 0:40:54,1
1287,2020-01-01 0:41:01,0
938,2020-01-01 0:41:11,2
529,2020-01-01 0:41:19,2
499,2020-01-01 0:41:27,2
1385,2020-01-01 0:41:38,1
469,2020-01-01 0:41:38,1
1019,2020-01-01 0:41:43,2
397,2020-01-01 0:41:44,1
267,2020-01-01 0:41:45,1
223,2020-01-01 0:41:46,1
251,2020-01-01 0:41:55,1
94,2020-01-01 0:42:03,2
898,2020-01-01 0:42:03,1
458,2020-01-01 0:42:04,1
890,2020-01-01 0:42:08,1
679,2020-01-01 0:42:11,1
322,2020-01-01 0:42:11,1
1098,2020-01-01 0:42:12,1
327,2020-01-01 0:42:16,1
440,2020-01-01 0:42:16,1
347,2020-01-01 0:42:21,1
436,2020-01-01 0:42:38,1
723,2020-01-01 0:42:50,1
299,2020-01-01 0:42:52,1
679,2020-01-01 0:42:55,1
1531,2020-01-01 0:42:58,1
410,2020-01-01 0:43:20,2
1609,2020-01-01 0:43:50,1
528,2020-01-01 0:43:52,2
1500,2020-01-01 0:43:55,1
683,2020-01-01 0:43:56,1
1058,2020-01-01 0:43:57,1
668,2020-01-01 0:43:58,1
347,2020-01-01 0:43:58,1
680,2020-01-01 0:44:04,2
810,2020-01-01 0:44:15,2
1282,2020-01-01 0:44:19,2
451,2020-01-01 0:44:20,1
1267,2020-01-01 0:44:20,0
448,2020-01-01 0:44:24,1
61,2020-01-01 0:44:31,2
433,2020-01-01 0:44:32,1
1221,2020-01-01 0:44:36,1
1340,2020-01-01 0:44:45,1
919,2020-01-01 0:44:48,1
768,2020-01-01 0:44:50,1
320,2020-01-01 0:44:53,1
2002,2020-01-01 0:44:55,1
439,2020-01-01 0:45:06,2
1842179,2020-01-01 0:45:10,1
534,2020-01-01 0:45:15,1
1196,2020-01-01 0:45:24,1
645,2020-01-01 0:45:28,1
725,2020-01-01 0:45:35,1
1281,2020-01-01 0:45:40,2
149,2020-01-01 0:45:57,1
913,2020-01-01 0:46:00,1
322,2020-01-01 0:46:03,1
663,2020-01-01 0:46:03,1
1216,2020-01-01 0:46:04,1
5152,2020-01-01 0:46:31,2
459,2020-01-01 0:46:34,1
1228,2020-01-01 0:46:35,1
702,2020-01-01 0:46:38,1
1894,2020-01-01 0:46:43,1
467,2020-01-01 0:46:58,1
555,2020-01-01 0:47:08,2
767,2020-01-01 0:47:08,1
1178,2020-01-01 0:47:21,1
397,2020-01-01 0:47:33,1
911,2020-01-01 0:47:45,1
3560,2020-01-01 0:47:54,1
1921,2020-01-01 0:47:56,0
632,2020-01-01 0:48:06,2
1138,2020-01-01 0:48:08,1
162,2020-01-01 0:48:13,1
420,2020-01-01 0:48:14,1
1116,2020-01-01 0:48:32,1
223,2020-01-01 0:48:34,1
660,2020-01-01 0:48:35,2
814,2020-01-01 0:48:37,1
1863,2020-01-01 0:48:45,0
1846,2020-01-01 0:48:49,0
1185,2020-01-01 0:48:53,0
1163,2020-01-01 0:49:04,0
1734,2020-01-01 0:49:05,1
369,2020-01-01 0:49:10,1
177,2020-01-01 0:49:13,2
112,2020-01-01 0:49:29,1
435,2020-01-01 0:49:33,1
944,2020-01-01 0:49:36,1
1177,2020-01-01 0:49:44,2
1884,2020-01-01 0:49:45,1
1880,2020-01-01 0:49:49,1
570,2020-01-01 0:49:49,1
278,2020-01-01 0:49:54,1
374,2020-01-01 0:50:19,1
268,2020-01-01 0:50:23,1
878,2020-01-01 0:50:24,1
592,2020-01-01 0:50:27,1
2865,2020-01-01 0:50:27,1
663,2020-01-01 0:50:42,2
1510,2020-01-01 0:50:56,1
1514,2020-01-01 0:51:01,1
213,2020-01-01 0:51:02,1
306,2020-01-01 0:51:05,1
886,2020-01-01 0:51:16,1
462,2020-01-01 0:51:17,1
109,2020-01-01 0:51:26,1
464,2020-01-01 0:51:26,1
1123,2020-01-01 0:51:32,1
536,2020-01-01 0:51:39,2
565,2020-01-01 0:51:40,0
603,2020-01-01 0:51:42,1
519,2020-01-01 0:51:51,1
461,2020-01-01 0:51:58,2
525,2020-01-01 0:52:01,2
281,2020-01-01 0:52:04,1
2082,2020-01-01 0:52:12,1
304,2020-01-01 0:52:12,2
1030,2020-01-01 0:52:22,1
477,2020-01-01 0:52:23,2
310,2020-01-01 0:52:33,1
420,2020-01-01 0:52:35,1
314,2020-01-01 0:52:36,2
527,2020-01-01 0:52:59,1
294,2020-01-01 0:53:01,1
279,2020-01-01 0:53:03,1
441,2020-01-01 0:53:26,1
999,2020-01-01 0:53:32,1
551,2020-01-01 0:53:37,1
393,2020-01-01 0:53:38,2
319,2020-01-01 0:53:49,0
1160,2020-01-01 0:53:49,0
363,2020-01-01 0:54:05,1
1115,2020-01-01 0:54:17,1
1127,2020-01-01 0:54:22,1
986,2020-01-01 0:54:25,1
616,2020-01-01 0:54:25,1
671,2020-01-01 0:54:26,1
668,2020-01-01 0:54:29,2
1059,2020-01-01 0:54:31,1
2485,2020-01-01 0:54:31,0
1119,2020-01-01 0:54:33,1
1048,2020-01-01 0:54:35,1
1167,2020-01-01 0:54:40,1
2473,2020-01-01 0:54:40,2
835,2020-01-01 0:54:40,1
263,2020-01-01 0:54:49,1
147,2020-01-01 0:54:50,1
1032,2020-01-01 0:54:51,1
442,2020-01-01 0:54:59,1
1355,2020-01-01 0:55:04,1
1508,2020-01-01 0:55:06,1
503,2020-01-01 0:55:13,2
1179,2020-01-01 0:55:17,1
1117,2020-01-01 0:55:28,1
286,2020-01-01 0:55:32,2
407,2020-01-01 0:55:37,2
444,2020-01-01 0:55:37,1
333,2020-01-01 0:55:43,1
299,2020-01-01 0:55:43,1
288,2020-01-01 0:55:46,2
244,2020-01-01 0:55:59,1
722,2020-01-01 0:56:02,1
431,2020-01-01 0:56:19,0
1443,2020-01-01 0:56:20,2
1118,2020-01-01 0:56:25,1
994,2020-01-01 0:56:28,2
527,2020-01-01 0:56:35,1
831,2020-01-01 0:56:37,1
270,2020-01-01 0:56:38,1
480,2020-01-01 0:56:42,1
323,2020-01-01 0:56:48,1
940,2020-01-01 0:56:50,2
197,2020-01-01 0:56:51,1
332,2020-01-01 0:57:42,1
1316,2020-01-01 0:57:46,1
40444,2020-01-01 0:57:48,1
332,2020-01-01 0:57:58,1
633,2020-01-01 0:58:02,0
1014,2020-01-01 0:58:02,1
850,2020-01-01 0:58:07,1
2255,2020-01-01 0:58:08,1
307,2020-01-01 0:58:13,1
304,2020-01-01 0:58:14,1
1117,2020-01-01 0:58:30,1
286,2020-01-01 0:58:37,1
1584,2020-01-01 0:58:45,0
1187,2020-01-01 0:58:50,1
1064,2020-01-01 0:58:51,1
240,2020-01-01 0:58:52,1
1078,2020-01-01 0:58:52,2
1576,2020-01-01 0:58:54,0
887,2020-01-01 0:58:55,1
693,2020-01-01 0:58:58,2
456,2020-01-01 0:58:59,2
391,2020-01-01 0:59:02,1
682,2020-01-01 0:59:03,1
614,2020-01-01 0:59:05,2
448,2020-01-01 0:59:14,1
1139,2020-01-01 0:59:19,1
959,2020-01-01 0:59:20,1
1172,2020-01-01 0:59:24,1
607,2020-01-01 0:59:30,1
457,2020-01-01 0:59:54,0
378,2020-01-01 1:00:05,0
740,2020-01-01 1:00:07,1
907,2020-01-01 1:00:11,2
154,2020-01-01 1:00:28,1
207,2020-01-01 1:00:35,2
1824,2020-01-01 1:00:37,0
741,2020-01-01 1:00:43,0
626,2020-01-01 1:00:58,0
1080,2020-01-01 1:01:05,1
662,2020-01-01 1:01:18,2
286,2020-01-01 1:01:23,1
2616,2020-01-01 1:01:39,2
522,2020-01-01 1:01:42,1
455,2020-01-01 1:01:45,2
683,2020-01-01 1:01:51,0
